x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,1.5
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,1.5
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,1.5
89663.70332410357,43122.66635452582,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,1.5
89660.83079425011,43121.00331092646,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,1.5
89657.80707861489,43119.037895763584,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,1.5
89653.95184118,43116.99688770982,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,1.5
89650.61527763396,43117.64606331011,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,2.0
89647.04114078643,43118.84771276746,0.0,0.0,0.0,0.9828388597749671,0.18446619125531533,8.333333333333334
89644.45593458207,43119.85356517503,0.0,0.0,0.0,0.9828388597749282,0.18446619125552244,8.333333333333334
89642.08375731178,43120.77653225382,0.0,0.0,0.0,0.9801146773240839,0.19843190089778148,8.333333333333334
89638.68207722215,43122.21279718054,0.0,0.0,0.0,0.9932438384097851,0.11604601441237279,8.333333333333334
89636.71666205926,43123.42228343462,0.0,0.0,0.0,0.9640589984456094,0.2656882524991435,8.333333333333334
89634.37328244197,43124.78295547046,0.0,0.0,0.0,0.9474843252375492,0.31980220985657076,8.333333333333334
89632.69193766383,43126.48851578403,0.0,0.0,0.0,0.8976252651237503,0.4407594393901474,8.333333333333334
89630.54143781093,43129.74162241264,0.0,0.0,0.0,0.8807548517287653,0.47357247719461115,8.333333333333334
89628.3148229,43133.1098699,0.0,0.0,0.0,0.8837209213432701,0.4680142446338592,8.333333333333334
89626.5962446,43135.5491846,0.0,0.0,0.0,0.8871278945615914,0.46152367078051165,8.333333333333334
89624.8893618,43137.9966586,0.0,0.0,0.0,0.8865967894355123,0.46254311470677173,8.333333333333334
89623.1819638,43140.4439264,0.0,0.0,0.0,0.8863203909840539,0.4630725262049928,8.333333333333334
89621.4806511,43142.8958758,0.0,0.0,0.0,0.8859316145123499,0.46381588416907515,8.333333333333334
89619.7813115,43145.3490954,0.0,0.0,0.0,0.8849546477558882,0.4656772180547936,8.333333333333334
89618.100974,43147.8148295,0.0,0.0,0.0,0.8829026787619881,0.4695560241706048,8.333333333333334
89616.4459781,43150.2959718,0.0,0.0,0.0,0.8782574784739602,0.4781880399012102,8.333333333333334
89614.8648117,43152.8237383,0.0,0.0,0.0,0.8635960548115275,0.5041843453678081,8.333333333333334
89613.5157321,43155.4866665,0.0,0.0,0.0,0.8263877215257829,0.5631015305532611,8.333333333333334
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7527199200888889,0.658340885788948,8.333333333333334
89612.7291468,43161.3404789,0.0,0.0,0.0,0.6386325079209082,0.7695118711408233,8.333333333333334
89613.7741219,43164.1124982,0.0,0.0,0.0,0.4556838332824756,0.8901416988800092,8.333333333333334
89616.038489,43165.9320151,0.0,0.0,0.0,0.21420236143916577,0.9767893060194123,8.333333333333334
89618.9507637,43166.4975904,0.0,0.0,0.0,-0.037385481561746835,0.9993009185267451,8.333333333333334
89621.7102618,43165.5070397,0.0,0.0,0.0,-0.2746758327313961,0.9615368879628665,8.333333333333334
89623.8840814,43163.4286152,0.0,0.0,0.0,-0.4029212594233662,0.9152346468008564,8.333333333333334
89625.7384085,43161.107721,0.0,0.0,0.0,-0.4710663834361138,0.8820977623803499,8.333333333333334
89627.1816511,43158.5014474,0.0,0.0,0.0,-0.5217956776489728,0.8530704957896793,8.333333333333334
89628.4528769,43155.8019154,0.0,0.0,0.0,-0.5466775178782768,0.8373432339527479,8.333333333333334
89629.5826044,43153.0374306,0.0,0.0,0.0,-0.5633270023766471,0.826234039720793,8.333333333333334
89630.6338945,43150.2444985,0.0,0.0,0.0,-0.5239696252588532,0.8517369498889296,8.333333333333334
89632.2522925146,43147.75284844299,0.0,0.0,0.0,-0.5109345703306823,0.859619604732815,8.333333333333334
89633.20967857075,43145.509917684125,0.0,0.0,0.0,-0.534154914402164,0.8453866141713015,8.333333333333334
89634.45844299185,43143.112302045345,0.0,0.0,0.0,-0.5049129408462819,0.8631702741440759,8.333333333333334
89636.12346221996,43140.32797420675,0.0,0.0,0.0,-0.42648244443755295,0.9044958400051211,8.333333333333334
89638.4128636586,43138.31707076777,0.0,0.0,0.0,-0.2982450451542976,0.9544893362635912,8.333333333333334
89640.70226509725,43137.15693416836,0.0,0.0,0.0,-0.1522222747996226,0.9883462849906546,8.333333333333334
89642.82516461308,43136.92490684848,0.0,0.0,0.0,0.05493956931916669,0.9984896813302702,8.333333333333334
89644.90643864822,43137.62098880812,0.0,0.0,0.0,0.25732354329535195,0.9663253044735635,8.333333333333334
89646.73795979914,43139.16783760734,0.0,0.0,0.0,0.44884437817878453,0.8936099396142034,8.333333333333334
89647.61209489389,43141.25608348628,0.0,0.0,0.0,0.648566776065356,0.7611577609038683,8.333333333333334
89647.6953458553,43145.12320548432,0.0,0.0,0.0,0.7729213473220827,0.634501844641776,8.333333333333334
89646.32170499211,43147.75284844299,0.0,0.0,0.0,0.8553709161678051,0.5180160188394272,8.333333333333334
